order_id,order_date,payment_date,order_value,item_name
65531490,02-01-2019,03-09-2019,35.03,"HUMAN RESOURCE MANAGEMENT-MYMGMTLAB..."
86208163,02-18-2019,05-02-2019,72.05,"ACCT 201 PRINCIPLES"
86227908,02-20-2019,03-18-2019,25.96,"ENG 102:JOINING ACADEMIC...>CUSTOM<"
86227908,02-26-2019,04-11-2019,43.10,"SOPRANO ANGEL RECORDER"
86146726,02-27-2019,03-21-2019,21.22,"SOPRANO ANGEL RECORDER"
86146726,03-12-2019,04-08-2019,26.96,"ENG 102:JOINING ACADEMIC...>CUSTOM<"
86582117,03-13-2019,03-16-2019,2.74,"WHAT IS LIFE? GDE.TO BIOLOGY W/PHYSIO."
86582220,03-19-2019,03-28-2019,8.04,"SOCIOLOGY PROJECT-ACCESS >CUSTOM<"
86582220,05-03-2019,07-13-2019,70.30,"TOP HAT ACCESS CARD (OER)"
86582220,05-06-2019,07-22-2019,76.99,"THINKING ANTHROPOLOGICALLY"
86582220,05-07-2019,06-06-2019,29.97,"ANTHROPOLOGY (LOOSELEAF)"
86582220,05-15-2019,07-29-2019,74.20,"MYSTATLAB STUDENT ACCESS CODE CARD"
87174497,06-05-2019,07-16-2019,40.19,"THINK LIKE AN ENGINEER"
87174497,06-10-2019,07-24-2019,43.94,"NORTON SHAKESPEARE:ESSEN.PLAYS SONNETS"
87174497,08-02-2019,11-04-2019,93.83,"TESS OF D'URBERVILLES (37054)"
87212447,09-06-2019,09-17-2019,10.53,"FAR FROM THE MADDING CROWD  (37011)"
87212447,09-26-2019,10-23-2019,26.51,"RETURN OF THE NATIVE  (37046)"
87212447,10-02-2019,10-16-2019,13.99,"WOODLANDERS  (38530)"
87212447,10-09-2019,10-25-2019,15.28,"WESSEX TALES"
86940177,10-10-2019,10-20-2019,96.33,"SELECTED POETRY"
86932978,11-01-2019,11-20-2019,18.72,"NEUE BLICKWINKEL"
87515858,11-28-2019,12-21-2019,22.45,"UNDERSTANDING NUTRITION-MINDTAP ACCESS"
87557450,11-29-2019,12-09-2019,35.74,"APPLYING COMM.THEORY F/PROF.LIFE"
87557450,12-20-2019,12-30-2019,50.57,"ORGANIZATIONAL COMMUNICATION F/SURVIVAL"
87371153,12-27-2019,12-30-2019,54.26,"BCOR 199"
92148893-3,01-28-2019,02-10-2019,47.94,"FASCISM                                "
92148890-3,01-15-2019,04-17-2019,18.81,"GENERAL BIOLOGY LABORATORY MANUAL"
92972648,01-17-2019,02-02-2019,76.33,"MATHEMATICAL IDEAS...-W/ACCESS >CUSTOM<"
92926355,01-21-2019,02-11-2019,14.29,"BiologyAnatomy Lab Eyewear"
92531420-2,01-25-2019,04-12-2019,58.85,"FSH U LAB COAT Emb8115White"
93311879,01-28-2019,03-24-2019,81.14,"1 SUBJECT NOTEBOOK"
93311879,01-29-2019,02-01-2019,37.92,"FSH U LAB COAT Emb8115White"
93311879,02-01-2019,02-04-2019,28.89,"Bic Mechanical Pencils Medium Point 0.7mm #2 10Pack"
92902847-1,02-06-2019,04-13-2019,56.66,"ERROR DETECTION SHEET MUSIC"
93160552-1,02-11-2019,04-26-2019,34.76,"MYSTATLAB-ACCESS >CUSTOM<"
94118193,02-14-2019,04-27-2019,84,"TOTAL LEARNING:DEVEL.CURR.F/YOUNG CHILD"
94039191,02-19-2019,03-20-2019,63.33,"CONSTITUTIONAL LAW FOR CRIMINAL JUSTICE"
94039191,02-20-2019,04-25-2019,51.45,"CRIME+JUSTICE IN AMERICA"
94039191,02-21-2019,05-21-2019,81.9,"PUNTOS DE PARTIDA (LL)-PKG. >CUSTOM<"
94054890,03-06-2019,03-24-2019,75.87,"League Intramural V T Shirt"
94039191,03-07-2019,04-27-2019,19.35,"CONFESSION OF SAINT PATRICK"
94061105,03-08-2019,05-12-2019,77.14,"FRANCIS OF ASSISI:SAINT-EARLY DOCUMENTS"
93140940-1,03-11-2019,04-17-2019,42.62,"RB 1980:RULE OF ST.BENEDICT-ENGLISH"
93206958-1,03-12-2019,06-03-2019,86.55,"SCIVIAS"
93206958-1,03-14-2019,05-07-2019,61.09,"EXACT EXPOSITION OF THE ORTHODOX FAITH"
93163702-1,03-19-2019,06-26-2019,44.81,"HIST.OF THE WORLD CHRIST.MOVEMENT V.I"
93163702-1,03-20-2019,06-21-2019,9.21,"EARLY CHRISTIAN WRITINGS"
93163758-1,03-21-2019,05-04-2019,89.49,"WOMEN'S BIBLE COMMENTARY (REV.+UPDATED)"
93140625-2,03-25-2019,06-06-2019,97.32,"MARK:SHAPING THE LIFE+LEGACY OF JESUS"
94084251-1,03-28-2019,07-03-2019,7,"GOSPEL PARALLELS (NRSV)"
94084251-1,08-13-2019,,77.87,"League Intramural V T Shirt"
94222127-1,08-14-2019,10-06-2019,76.86,"Thule EnRoute Backpack 23L"
94583399,08-15-2019,11-07-2019,35.65,"Case Logic 16 Sleeve Heather Rose"
93158800-1,08-19-2019,09-17-2019,44.78,"Legacy Relaxed Twill Adjustable Hat"
94535045-1,08-22-2019,09-28-2019,94.87,"Scosche MPWDA MagicMOUNT Pro WindowDash"
